"Begintijd - msec","Eindtijd - msec","s1","Bestand","Bestandspad"
617,1720,"oke euhm ","leuven1a_run1.eaf"
2120,6429,"het is een beeld waarbij dat er kinderen in een turnzaal euhm spelen","leuven1a_run1.eaf"
6932,7629,"euhm","leuven1a_run1.eaf"
7780,11902,"op het in de linkerkant in het midden staat er een kindje aan 't zwemmen in het zwembad","leuven1a_run1.eaf"
12280,15557,"helemaal vanachter zijn er kinderen aan het klimmen op een klimrek","leuven1a_run1.eaf"
16240,18817,"vanvoor zijn er kinderen aan 't kruipen op een mat","leuven1a_run1.eaf"
19099,25910,"en aan de rechterkant zijn er ook kinderen die (er) is één kindje dat met een hoepel in de l dat een hoepel in de lucht houdt","leuven1a_run1.eaf"
26612,31204,"euhm verder zijn er vanachter ook nog kinderen die op touwen klimmen ","leuven1a_run1.eaf"
31610,32731,"en","leuven1a_run1.eaf"
33240,36995,"euhm ook kinderen die onder hordes doorkruipen","leuven1a_run1.eaf"
37697,38059,"euhm","leuven1a_run1.eaf"
38608,40931,"ja ik weet niet goed of dat dat de juiste term is","leuven1a_run1.eaf"
41927,44165,"da 's zo wat het is in een turnzaal","leuven1a_run1.eaf"
55680,57157,"in het centrum is er een zwembad ","leuven1a_run1.eaf"
57680,60417,"euhm waar één kindje in aan 't zwemmen is aan de linkerkant ","leuven1a_run1.eaf"
60582,63902,"en aan de rechterkant een kind dat een hoepel omhoog houdt","leuven1a_run1.eaf"
66995,70174,"vanachter zijn er euhm kinderen aan het klimmen op een klimmenrek ","leuven1a_run1.eaf"
71233,73207,"en vanvoor kruipen kruipen er kinderen over een mat","leuven1a_run1.eaf"
74810,76089,"da 's het voornaamste denk ik","leuven1a_run1.eaf"

368,1515,"met een vijver","leuven1a_run2.eaf"
1711,3067,"het grootste deel is een vijver","leuven1a_run2.eaf"
3588,5122,"en daarrond loopt een pad","leuven1a_run2.eaf"
5866,8417,"en vanvoor op het pad lopen twee honden","leuven1a_run2.eaf"
9392,12993,"euhm links van het pad zijn twee ganzen","leuven1a_run2.eaf"
14512,15256,"ganzen","leuven1a_run2.eaf"
16351,20261,"euhm op de vijver zijn er twee kinderen die euhm","leuven1a_run2.eaf"
20924,22118,"op een pedalo zitten","leuven1a_run2.eaf"
23492,25944,"en daarachter staat een koe","leuven1a_run2.eaf"
27130,27924,"euhm","leuven1a_run2.eaf"
28396,30567,"er is ook aan de linkerkant een kiosk","leuven1a_run2.eaf"
31591,32611,"@","leuven1a_run2.eaf"
32989,34703,"oke moet ik iets herhalen of","leuven1a_run2.eaf"
40874,45135,"de de koe en een pedalo en de pe (    ) euhm ja die kinderen op de pedalo","leuven1a_run2.eaf"

627,1177,"oke","leuven2b_run1.eaf"
1816,8575,"dus euhm aan de rechterkant is zijn er een paar bomen in de en helemaal vanboven zit er een eekhoorn","leuven2b_run1.eaf"
8952,12971,"en dan links is er een paddenstoel helemaal links beneden","leuven2b_run1.eaf"
13438,19339,"en dan in 't midden staan drie personen euhm eentje meer links en de andere twee meer rechts","leuven2b_run1.eaf"
20122,26221,"en wacht he (ja wat zijn er nog) links vanboven een vogel maar 'k weet niet we@lke vo@gel dat dat is dus ja @","leuven2b_run1.eaf"
26301,27820,"(            ) euhm","leuven2b_run1.eaf"
28438,29066,"wat is er nog","leuven2b_run1.eaf"
30410,34750,"ja vanvoor rechts zijn er ook heel veel bladeren die bruin zijn en dan links meer geel","leuven2b_run1.eaf"
35518,39136,"ja dat denk ik @ niet verder niets meer weet @","leuven2b_run1.eaf"

760,4957,"oke dus rechts vanvoor is er een jongen aan het lopen naar links","leuven2b_run2.eaf"
5282,15251,"in 't midden is er een speeltuig en langs die linkerkant zitten twee kinderen achter het speeltuig te kijken naar drie jongens die vanvoor in een in boeken aan 't lezen zijn","leuven2b_run2.eaf"
15619,21350,"dan achter het lopende jongen en achter het speeltuig zit nog een andere jongen met krullen","leuven2b_run2.eaf"

840,6552,"oke dus 't is een afbeelding met twaalf kinderen op in een turnhal zo 'n schoolturnhal","Leuven3a_run1.eaf"
6920,11558,"euhm helemaal vanachter allee zo vanboven op de afbeelding staat een klimrek","Leuven3a_run1.eaf"
13668,15564,"dat is zo 'n ding waar je op klimt","Leuven3a_run1.eaf"
16033,17395,"zo @ oke","Leuven3a_run1.eaf"
17687,23349,"en dan euhm er staat dan rechts van dat klimrek staat een trampoline","Leuven3a_run1.eaf"
23564,25478,"gewoon een trampoline zonder kind op","Leuven3a_run1.eaf"
25914,30055,"dan staat er euhm ergens een zwembad zo 'n beetje in 't midden links","Leuven3a_run1.eaf"
30595,32141,"daar staat een kind in","Leuven3a_run1.eaf"
32496,38540,"dan is er nog euhm een mat waar iemand op kruipt of zo","Leuven3a_run1.eaf"
39073,42901,"dan hekken twee hekken ja","Leuven3a_run1.eaf"
43343,47257,"zo ik d@enk geel met iets gestreept dus euhm","Leuven3a_run1.eaf"
47926,53055,"en dan vooraan op de allee onderaan op de afbeelding nog twee matten met ook kinderen bij","Leuven3a_run1.eaf"
54638,56576,"dus twaalf kinderen in totaal (eigenlijk)","Leuven3a_run1.eaf"

969,4693,"'t is zo in een park euhm nee park zo ja achtig","Leuven3a_run2.eaf"
5090,7954,"en op de achtergrond ziet ge zo een stad een beetje","Leuven3a_run2.eaf"
8381,16366,"en dan op de voorgrond euhm helemaal onderaan het schilderij zijn drie grote eenden en twee kleine eenden","Leuven3a_run2.eaf"
18180,25562,"eenden zo van die euhm vogels die bij het water zo zitten maar op die afbeelding niet bij het water maar","Leuven3a_run2.eaf"
26141,26845,"euhm","Leuven3a_run2.eaf"
27281,32206,"dan twee kindjes op een pad maar in totaal zijn er echt heel veel mensen op dat ding he","Leuven3a_run2.eaf"
32664,33438,"euhm","Leuven3a_run2.eaf"
34010,37678,"en dan hebt ge dan is er een vijver aan de rechterkant","Leuven3a_run2.eaf"
37969,40522,"en daar zijn zo drie soorten boten op","Leuven3a_run2.eaf"
40587,43502,"één ja ik weet niet pedalo hoe dat ge dat noemt","Leuven3a_run2.eaf"
43954,46291,"euhm één klein speelbootje en één kano-achtig iets","Leuven3a_run2.eaf"
46859,49572,"en één kano-achtig iets","Leuven3a_run2.eaf"
50291,58190,"euhm op dat helemaal op de achtergrond is ook een een vrouw of een man die met zijn hond aan het lopen of wandelen is maar da 's echt op de achtergrond","Leuven3a_run2.eaf"
58517,61567,"en dan links ergens is er ook nog een huisje","Leuven3a_run2.eaf"
61783,65513,"en aan de andere kant van dat huisje rechts is een grote koe","Leuven3a_run2.eaf"
66060,68020,"waar ook een persoon bij staat","Leuven3a_run2.eaf"
68422,74080,"en voor de rest nog andere personen denk ik dat het was @","Leuven3a_run2.eaf"
74919,76241,"dat was echt vaag","Leuven3a_run2.eaf"

349,1785,"oke euhm","leuven4b_run1.eaf"
2092,4092,"dus het speelt zich af in een bos","leuven4b_run1.eaf"
4619,8093,"in het bos heb je twee kinderen en een mama","leuven4b_run1.eaf"
8631,12931,"de linkse het linkse kind draagt een rode jas","leuven4b_run1.eaf"
13629,20061,"euhm op de voorgrond zie je veel vanvoor staat er heel veel blaadjes eikels","leuven4b_run1.eaf"
20520,22269,"er zijn vier bomen","leuven4b_run1.eaf"
22820,23907,"euhm","leuven4b_run1.eaf"
24480,25613,"(ik ben nog) aan 't denken","leuven4b_run1.eaf"
26040,27104,"euhm","leuven4b_run1.eaf"
27527,30226,"er zijn heel veel dieren ook in het bos","leuven4b_run1.eaf"
30748,34625,"euhm links twee eekhoorns ","leuven4b_run1.eaf"
35110,36777,"en rechts een egel ","leuven4b_run1.eaf"
37944,39116,"euhm","leuven4b_run1.eaf"
40484,43122,"er zijn nog heel veel andere dieren in het b@os","leuven4b_run1.eaf"
44423,45558,"maar euhm","leuven4b_run1.eaf"
46398,48049,"paddenstoelen ook heel veel paddenstoelen","leuven4b_run1.eaf"
49558,52011,"euhm voorgrond voorgrond","leuven4b_run1.eaf"
52162,56638,"en helemaal op de achtergrond zie je nog allemaal struiken groene dikke struiken","leuven4b_run1.eaf"
58417,59990,"struiken euhm","leuven4b_run1.eaf"
60794,66147,"geen bomen maar wat er tussen de bomen staat kleine groene bosjes","leuven4b_run1.eaf"
66282,66985,"zo oke","leuven4b_run1.eaf"
68167,69197,"euhm","leuven4b_run1.eaf"
70317,71312,"voor de rest","leuven4b_run1.eaf"
71587,76184,"het rechtse kindje geeft een hand aan de mama en het linkse loopt alleen","leuven4b_run1.eaf"
76700,79049,"en zij heeft zij is degene met de rode jas","leuven4b_run1.eaf"
79487,80572,"euhm","leuven4b_run1.eaf"
81920,84010,"ik denk dat dat ongeveer @ alles is","leuven4b_run1.eaf"
84631,85515,"voor de rest","leuven4b_run1.eaf"
87227,89110,"er zit ook nog een uil in de boom","leuven4b_run1.eaf"
89695,91480,"'k weet wel niet meer welke b@oom","leuven4b_run1.eaf"
92060,93483,"maar er zit ook nog een uil in de boom","leuven4b_run1.eaf"
93680,95347,"ik denk dat dat het ongeveer was","leuven4b_run1.eaf"
96343,97349,"heb jij nog vragen","leuven4b_run1.eaf"
102306,107392,"ja ze zijn aan 't lachen en de mama is bezig met het kindje en het andere kindje is alleen aan 't lopen","leuven4b_run1.eaf"
109539,113361,"ja van de van het kindje alleen wel","leuven4b_run1.eaf"
113980,119355,"van de mama en euhm het tweede kindje iets minder omdat ze een beetje gedraaid staan","leuven4b_run1.eaf"

710,2193,"oke dus euhm","leuven4b_run2.eaf"
2390,3821,"het is in een speeltuin ","leuven4b_run2.eaf"
4090,5248,"de kinderen spelen daar","leuven4b_run2.eaf"
5500,8441,"euhm links heb je vijf kinderen","leuven4b_run2.eaf"
8810,10375,"rechts twee kinderen","leuven4b_run2.eaf"
10809,12574,"dus in totaal zeven kinderen","leuven4b_run2.eaf"
13670,14200,"oke","leuven4b_run2.eaf"
15342,19458,"rechts twee maar het tweede kind rechts is een beetje verstopt achter een boom ","leuven4b_run2.eaf"
20101,22817,"'k denk toch dat hij een allee achter het speeltuig denk ik dat het was","leuven4b_run2.eaf"
23203,24500,"euhm dan","leuven4b_run2.eaf"
24745,26430,"er zijn vier glijbanen","leuven4b_run2.eaf"
27598,29651,"ja voor woehoew naar beneden","leuven4b_run2.eaf"
32420,36091,"ja in bij water heb je ook een glijbaan om naar beneden te schuiven","leuven4b_run2.eaf"
36790,43093,"oke euhm er is een blauwe gele blauw blauw","leuven4b_run2.eaf"
44685,46200,"dus twee kleuren","leuven4b_run2.eaf"
46603,47643,"blauw geel blauw blauw","leuven4b_run2.eaf"
49195,50502,"@","leuven4b_run2.eaf"
51220,53436,"van links naar rechts blauw geel blauw blauw","leuven4b_run2.eaf"
54991,56933,"oke euhm dan","leuven4b_run2.eaf"
58110,60657,"ja er staat dus een speeltuig om op te spelen","leuven4b_run2.eaf"
61265,62523,"euhm","leuven4b_run2.eaf"
64679,67707,"voor de rest ik denk dat dat het meest belangrijke was","leuven4b_run2.eaf"
67829,71055,"ja en het het rechtse kindje van de twee is verstopt","leuven4b_run2.eaf"
72011,72833,"euhm","leuven4b_run2.eaf"
73917,75651,"ze zijn met elkaar aan 't spelen","leuven4b_run2.eaf"
75861,78756,"dus de linkse zijn aan 't spelen en de rechtse is ook aan het spelen","leuven4b_run2.eaf"
79410,80410,"euhm","leuven4b_run2.eaf"
82488,83707,"wacht he ik ben aan 't denken","leuven4b_run2.eaf"
84192,85169,"ja vraag maar hoor","leuven4b_run2.eaf"
86033,88044,"denken wat dat er nog op stond","leuven4b_run2.eaf"
89296,90230,"goh ja","leuven4b_run2.eaf"
